,Unnamed: 0,Date,Time,hashtags,tagged_usernames,Text,tokens,data,pol_sub,polarity,subjectivity,Stanford_score,Stanford_sentiment,pred_logreg,pred_logreg_proba,pred_forest,pred_forest_proba,pred_svc,pred_bayes,pred_bayes_proba
13,13,2020-05-20,11:39:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
14,14,2020-05-20,11:38:00,['#bjp'],['@hansrajmeena'],"['may', 'limit', 'reach', 'handles', 'ask', 'question', 'farzi', 'bjp', 'government', '?']","['may', 'limit', 'reach', 'handles', 'ask', 'question', 'farzi', 'bjp', 'government', '?']",or may be to limit the reach of all handles who ask question to this farzi bjp government,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.8967707094086002,1,0.62,1,1,0.6537298023189487
15,15,2020-05-20,11:37:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
16,16,2020-05-20,11:36:00,[],"['@milligazette:', '@muslimmirror']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video was,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.3881905278582089,0,0.48,0,1,0.5135311973457847
17,17,2020-05-20,11:35:00,[],['@muslimmirror'],"['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']","['fir', 'news', 'website', '.', 'according', 'gujarat', 'police', 'day', 'shahpur', 'stone-pelting', 'video']",fir against  news website according to gujarat police a day after the shahpur stonepelting a video,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.4799074266821664,1,0.66,0,1,0.5359082252613612
18,18,2020-05-20,11:35:00,"['#bjp', '#rajivgandhi']",['@i_theindian:'],"['bjp', 'keeps', 'raising', 'fake', 'allegations', 'rajivgandhi', 'score', 'brownie', 'points', 'withdrew', 'application']","['bjp', 'keeps', 'raising', 'fake', 'allegations', 'rajivgandhi', 'score', 'brownie', 'points', 'withdrew', 'application']",while bjp keeps raising fake allegations against rajivgandhi to score brownie points they withdrew their application to,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,1.0,Negative,0,0.21040874495041137,1,0.575,0,0,0.3433975338526201
19,19,2020-05-20,11:33:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative,1,0.71143545993965,0,0.28,1,1,0.5957273029424546
20,20,2020-05-20,11:31:00,"['#indiaunderlockdown:', '#aicc']","['@news9tweets:', '@priyankagandhi', '@myogiadityanath']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']",indiaunderlockdown aicc general secy  asks  led up government to allow the buses she ha,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5,2.0,Neutral,1,0.8497610583765045,1,0.6,1,1,0.6456919029880677
21,21,2020-05-20,11:30:00,['#bjp'],['@dayanidhi_maran:'],"['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']","['misogyny', '&', 'amp', ';', 'track', 'record', 'disrespecting', 'women', 'become', 'trademark', 'bjp', 'online', '&', 'amp', ';', 'offline', '.', 'rea']",misogyny amp a track record of disrespecting women have become the trademark of bjp both online amp offline its now rea,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,1.0,Negative,1,0.6584918292821523,1,0.58,1,1,0.5801078245370977
22,22,2020-05-20,11:29:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative,1,0.71143545993965,0,0.28,1,1,0.5957273029424546
23,23,2020-05-20,11:28:00,"['#bjp', '#congress']",['@aditisinghinc'],"['join', 'bjp', 'sometime', '.', 'understood', 'congress', 'agenda', '.']","['join', 'bjp', 'sometime', '.', 'understood', 'congress', 'agenda', '.']",will join bjp in sometime  as she has understood congress and there agenda now ,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.7936857156411091,1,0.54,1,1,0.5790299885784466
24,24,2020-05-20,11:25:00,"['#indiaunderlockdown:', '#aicc']","['@news9tweets:', '@priyankagandhi', '@myogiadityanath']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses', 'ha']",indiaunderlockdown aicc general secy  asks  led up government to allow the buses she ha,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5,2.0,Neutral,1,0.8497610583765045,1,0.6,1,1,0.6456919029880677
25,25,2020-05-20,11:24:00,"['#indiaunderlockdown:', '#aicc']","['@priyankagandhi', '@myogiadityanath']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses']","['indiaunderlockdown', 'aicc', 'general', 'secy', 'asks', 'led', 'u.p', 'government', 'allow', 'buses']",indiaunderlockdown aicc general secy  asks  led up government to allow the buses,"Sentiment(polarity=0.05000000000000002, subjectivity=0.5)",0.05000000000000002,0.5,2.0,Neutral,1,0.6032586894408621,1,0.7255757575757577,1,1,0.5013089678429495
26,26,2020-05-20,11:24:00,"['#bjp', '#indianarmy', ""#kashmir'""]",['@mirfromkashmir:'],"['looters', 'gangsters', 'aka', 'bjp', 'indianarmy', 'kashmir']","['looters', 'gangsters', 'aka', 'bjp', 'indianarmy', 'kashmir']",looters and gangsters aka bjp indianarmy in kashmir,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.7194384103581967,1,0.8916666666666667,1,1,0.5071884619460131
27,27,2020-05-20,11:24:00,"['#aditisingh', '#bjp', '#raebareli', '#loksabha']",[],"['aditisingh', 'could', 'next', 'bjp', 'bet', 'raebareli', 'loksabha', 'seat', 'https//t.co/9iypi5eia8']","['aditisingh', 'could', 'next', 'bjp', 'bet', 'raebareli', 'loksabha', 'seat', 'https//t.co/9iypi5eia8']",aditisingh could be next bjp bet for raebareli loksabha seat httpstcoiypieia,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,0,0.455134902478002,1,0.58,0,1,0.5056564561892435
28,28,2020-05-20,11:23:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative,1,0.71143545993965,0,0.28,1,1,0.5957273029424546
29,29,2020-05-20,11:22:00,['#bjp'],[],"['modi', 'keeping', 'eye', 'patra', 'keeping', 'eye', 'subramanium', 'swamy', '.', 'bjp']","['modi', 'keeping', 'eye', 'patra', 'keeping', 'eye', 'subramanium', 'swamy', '.', 'bjp']",modi keeping an eye on patra keeping an eye on subramanium swamy bjp,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.5785144777015198,1,0.8160000000000001,1,0,0.429712250683729
30,30,2020-05-20,11:22:00,"['#bjp', '#govt', '#rail', '#police', '#migrantlabourers,']",['@santanusenmp:'],"['bjp', 'govt', 'chargng', 'rail', 'fare', 'police', 'btng', 'migrantlabourers', 'sndng', 'deadbdies', 'injiured', 'frcing', 'thm', 'walk', 'miles']","['bjp', 'govt', 'chargng', 'rail', 'fare', 'police', 'btng', 'migrantlabourers', 'sndng', 'deadbdies', 'injiured', 'frcing', 'thm', 'walk', 'miles']",bjp govt chargng rail fare police btng migrantlabourers sndng deadbdies with injiured frcing thm to walk miles t,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.7999693348940484,1,0.9033333333333334,1,1,0.5814756421621702
31,31,2020-05-20,11:20:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative,1,0.71143545993965,0,0.28,1,1,0.5957273029424546
32,32,2020-05-20,11:19:00,['#bjp'],['@vipuldutt12:'],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running them for,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative,1,0.71143545993965,0,0.28,1,1,0.5957273029424546
33,33,2020-05-20,11:19:00,"['#bangladesh', '#afghanistan', '#hindus\\n#pakistani', '#bjp']",['@sweposten:'],"['watch', 'bangladesh', 'hindus', 'afghanistan', 'hindus', 'pakistani', 'hindus', 'bjp', 'cant', 'feed', 'people', 'dont', 'accept', 'wil']","['watch', 'bangladesh', 'hindus', 'afghanistan', 'hindus', 'pakistani', 'hindus', 'bjp', 'cant', 'feed', 'people', 'dont', 'accept', 'wil']",watch out  bangladesh hindus afghanistan hindus pakistani hindus bjp cant feed his own people so dont accept you wil,"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0,1.0,Negative,0,0.37023536463425405,0,0.44,0,0,0.40757497667714443
34,34,2020-05-20,11:19:00,"['#bjp', '#congress', '#migrantworkers']",['@nathbhupendra:'],"['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']","['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']",i do not know who will win in tussle between bjp amp congress but it is for sure that the migrantworkers have been che,"Sentiment(polarity=0.65, subjectivity=0.6444444444444444)",0.65,0.6444444444444444,1.0,Negative,1,0.6705150415362395,0,0.44,1,1,0.5679611975279617
35,35,2020-05-20,11:19:00,['#bjp'],[],"['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running', 'th']","['bjp', 'playing', 'dirty', 'politics', '.', 'problem', 'u', 'buses', 'standing', 'front', 'u', 'u', 'r', 'running', 'th']",bjp is playing dirty politics what is the problem when u have buses standing in front of u and u r not running th,"Sentiment(polarity=-0.6, subjectivity=0.8)",-0.6,0.8,1.0,Negative,1,0.709058715929507,0,0.3,1,1,0.593948451442981
36,36,2020-05-20,11:18:00,"['#corona', '#bjp', '#modi\\n\\n#bjp', '#drambazzi', '#poor']",['@sweposten:'],"['atleast', 'corona', 'ji', 'time', 'good', 'test', '4', 'bjp', 'modi', 'bjp', 'drambazzi', 'would', 'cant', 'fed', 'poor', 'poor', 'country']","['atleast', 'corona', 'ji', 'time', 'good', 'test', '4', 'bjp', 'modi', 'bjp', 'drambazzi', 'would', 'cant', 'fed', 'poor', 'poor', 'country']",atleast corona ji time was a good test  bjp modi  bjp drambazzi   if he would cant fed his own poor poor country me,"Sentiment(polarity=0.12499999999999994, subjectivity=0.7000000000000001)",0.12499999999999994,0.7000000000000001,3.0,Positive,0,0.04768036253183109,0,0.24,0,0,0.19616920515204567
37,37,2020-05-20,11:17:00,"['#bjymcares', '#bj\\xe2\\x80\\xa6""']","['@suryaritz:', '@digvijaybjym']","['bjymcares', 'always', 'important', 'take', 'right', 'guidance', '.', 'surrounded', 'tremendous', 'leaders', 'bj']","['bjymcares', 'always', 'important', 'take', 'right', 'guidance', '.', 'surrounded', 'tremendous', 'leaders', 'bj']",bjymcares  its always important to take the right guidance you are surrounded with tremendous leaders bj,"Sentiment(polarity=0.33968253968253964, subjectivity=0.8452380952380952)",0.33968253968253964,0.8452380952380952,3.0,Positive,1,0.7126889547554037,1,0.66,1,1,0.6042519232173056
38,38,2020-05-20,11:17:00,"['#bjp', '#congress', '#migrantworkers']",['@nathbhupendra:'],"['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']","['know', 'win', 'tussle', 'bjp', '&', 'amp', ';', 'congress', 'sure', 'migrantworkers', 'che']",i do not know who will win in tussle between bjp amp congress but it is for sure that the migrantworkers have been che,"Sentiment(polarity=0.65, subjectivity=0.6444444444444444)",0.65,0.6444444444444444,1.0,Negative,1,0.6705150415362395,0,0.44,1,1,0.5679611975279617
39,39,2020-05-20,11:17:00,"['#bjp', '#maharashtra\\xe2\\x80\\xa6']",[],"['nephew', 'revolts', 'story', 'behind', 'devendra', 'fadnavis', 'ajit', 'pawars', 'oath', 'taking', 'bjp', 'maharashtra']","['nephew', 'revolts', 'story', 'behind', 'devendra', 'fadnavis', 'ajit', 'pawars', 'oath', 'taking', 'bjp', 'maharashtra']",the nephew revolts the story behind devendra fadnavis and ajit pawars oath taking bjp maharashtra,"Sentiment(polarity=-0.4, subjectivity=0.7)",-0.4,0.7,2.0,Neutral,0,0.36583482021190555,1,0.7,0,0,0.4888370733889556
40,40,2020-05-20,11:16:00,"['#congress', '#bjp']","['@zeenews', '@aditisinghinc']","['congress', 'say', 'bjp', 'brought', 'pressure', '.', 'working', 'method', '.']","['congress', 'say', 'bjp', 'brought', 'pressure', '.', 'working', 'method', '.']",now congress will say that bjp has brought pressure on her its their working method,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.6347239277748565,0,0.42,1,1,0.5039792529058855
41,41,2020-05-20,11:16:00,"['#bjp', '#ews', '#10\\xe2\\x80\\xb0ews']",['@keshaw9616:'],"['bjp', 'already', 'taken', 'bold', 'step', 'welfare', 'ews', 'students', 'giving', '10ews', 'reservation', '.', 'time', 'come', 'provide']","['bjp', 'already', 'taken', 'bold', 'step', 'welfare', 'ews', 'students', 'giving', '10ews', 'reservation', '.', 'time', 'come', 'provide']",bjp has already taken bold step to welfare ews students by giving ews reservation now the time has come to provide s,"Sentiment(polarity=0.3333333333333333, subjectivity=0.6666666666666666)",0.3333333333333333,0.6666666666666666,1.0,Negative,0,0.2283953239429793,0,0.44,0,0,0.3607744077144288
42,42,2020-05-20,11:16:00,['#bjp'],"['@anuj_sena', '@umeshnanda85', '@officeofut', '@bskoshyari', '@authackeray']","['bjp', 'playing', 'cheap', 'politics']","['bjp', 'playing', 'cheap', 'politics']",bjp is not playing any cheap politics,"Sentiment(polarity=0.4, subjectivity=0.7)",0.4,0.7,1.0,Negative,0,0.370925288919338,0,0.1,0,0,0.47786618744980053
43,43,2020-05-20,11:16:00,[],['@indianenvision:'],"['need', 'government', 'cares', 'people', 'instead', 'seats', 'parliament', '.', 'remember', 'democracy']","['need', 'government', 'cares', 'people', 'instead', 'seats', 'parliament', '.', 'remember', 'democracy']",we need a government who cares about the people instead of their seats in the parliament  remember democracy is of the,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.519094929159798,1,0.58,1,1,0.5069727664941062
44,44,2020-05-20,11:15:00,[],[],"['need', 'government', 'cares', 'people', 'instead', 'seats', 'parliament', '.', 'remember', 'democracy']","['need', 'government', 'cares', 'people', 'instead', 'seats', 'parliament', '.', 'remember', 'democracy']",we need a government who cares about the people instead of their seats in the parliament  remember democracy is of,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,2.0,Neutral,1,0.5192110172418188,1,0.58,1,1,0.5043608784060363
45,45,2020-05-20,11:14:00,['#congress\\n#bjp\\n#bjpsellingindia\\xe2\\x80\\xa6'],[],"['may', 'congress', 'definitely', 'support', 'bjp', 'never', '.', 'congress', 'bjp', 'bjpsellingindia']","['may', 'congress', 'definitely', 'support', 'bjp', 'never', '.', 'congress', 'bjp', 'bjpsellingindia']",i may not be against congress but definitely will not support bjp never  congress bjp bjpsellingindia,"Sentiment(polarity=0.0, subjectivity=0.5)",0.0,0.5,1.0,Negative,0,0.2350197172507865,1,0.56,0,1,0.5404785337244021
46,46,2020-05-20,11:13:00,"['#bjp', '#rajivgandhi']",['@i_theindian:'],"['bjp', 'keeps', 'raising', 'fake', 'allegations', 'rajivgandhi', 'score', 'brownie', 'points', 'withdrew', 'application']","['bjp', 'keeps', 'raising', 'fake', 'allegations', 'rajivgandhi', 'score', 'brownie', 'points', 'withdrew', 'application']",while bjp keeps raising fake allegations against rajivgandhi to score brownie points they withdrew their application to,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,1.0,Negative,0,0.21040874495041137,1,0.575,0,0,0.3433975338526201
47,47,2020-05-20,11:12:00,"['#bjp', '#ews', '#10\\xe2\\x80\\xb0ews']",['@keshaw9616:'],"['bjp', 'already', 'taken', 'bold', 'step', 'welfare', 'ews', 'students', 'giving', '10ews', 'reservation', '.', 'time', 'come', 'provide']","['bjp', 'already', 'taken', 'bold', 'step', 'welfare', 'ews', 'students', 'giving', '10ews', 'reservation', '.', 'time', 'come', 'provide']",bjp has already taken bold step to welfare ews students by giving ews reservation now the time has come to provide s,"Sentiment(polarity=0.3333333333333333, subjectivity=0.6666666666666666)",0.3333333333333333,0.6666666666666666,1.0,Negative,0,0.2283953239429793,0,0.44,0,0,0.3607744077144288
48,48,2020-05-20,11:10:00,[],['@ambujspeaks:'],"['found', 'excellent', 'piece', 'cartoon', 'clearly', 'depicting', 'state', 'nation', 'today', '.', 'lowest', 'strata', 'society']","['found', 'excellent', 'piece', 'cartoon', 'clearly', 'depicting', 'state', 'nation', 'today', '.', 'lowest', 'strata', 'society']",found an excellent piece of cartoon clearly depicting the state of the nation today the lowest strata of our society has,"Sentiment(polarity=0.55, subjectivity=0.6916666666666667)",0.55,0.6916666666666667,3.0,Positive,0,0.4518062452099911,1,0.62,0,0,0.4941108860196721
